id	prompt	generated_nl	gold_standard_nl	lang	model	prompt_type	query	tokenized_generated_nl	tokenized_gold_standard_nl	sentence_bleu	sentence_nist	rougeL	levenshtein
1	"Having a SPARQL query: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { ?uri wdt:P31 wd:Q131436 . } 
 Where:
 wdt:P31 has human-readable name ""instance of.""
 wd:Q131436 has human-readable name ""board game.""
 Transform the SPARQL query to a natural language question. Output just the transformed question"	What are the URIs of items that are instances of board games?	List all boardgames by GMT.	en	gpt-3.5-turbo	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { ?uri wdt:P31 wd:Q131436 . }	['What', 'are', 'the', 'URIs', 'of', 'items', 'that', 'are', 'instances', 'of', 'board', 'games', '?']	['List', 'all', 'boardgames', 'by', 'GMT', '.']	0.0	0.0	0.0	48.0
2	"Having a SPARQL query: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { wd:Q40984 wdt:P178 ?uri . } 
 Where:
 wd:Q40984 has human-readable name ""Skype.""
 wdt:P178 has human-readable name ""developer.""
 Transform the SPARQL query to a natural language question. Output just the transformed question"	What is the URI of the developer of Skype?	Who developed Skype?	en	gpt-3.5-turbo	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { wd:Q40984 wdt:P178 ?uri . }	['What', 'is', 'the', 'URI', 'of', 'the', 'developer', 'of', 'Skype', '?']	['Who', 'developed', 'Skype', '?']	0.1792	0.4	0.2	23.0
3	"Having a SPARQL query: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { ?uri wdt:P19 wd:Q160544 . } 
 Where:
 wdt:P19 has human-readable name ""place of birth.""
 wd:Q160544 has human-readable name ""Heraklion.""
 Transform the SPARQL query to a natural language question. Output just the transformed question"	What are the URIs of individuals who were born in Heraklion?	Which people were born in Heraklion?	en	gpt-3.5-turbo	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { ?uri wdt:P19 wd:Q160544 . }	['What', 'are', 'the', 'URIs', 'of', 'individuals', 'who', 'were', 'born', 'in', 'Heraklion', '?']	['Which', 'people', 'were', 'born', 'in', 'Heraklion', '?']	0.317	1.1697	0.4706	30.0
4	"Having a SPARQL query: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q177397 wdt:P131 ?obj . ?obj wdt:P131 ?uri . } 
 Where:
 wd:Q177397 has human-readable name ""area pepper.""
 wdt:P131 has human-readable name ""located in the administrative territorial entity.""
 wdt:P131 has human-readable name ""located in the administrative territorial entity.""
 Transform the SPARQL query to a natural language question. Output just the transformed question"	Which administrative territorial entity is the area pepper located in?	In which U.S. state is Area 51 located?	en	gpt-3.5-turbo	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q177397 wdt:P131 ?obj . ?obj wdt:P131 ?uri . }	['Which', 'administrative', 'territorial', 'entity', 'is', 'the', 'area', 'pepper', 'located', 'in', '?']	['In', 'which', 'U.S.', 'state', 'is', 'Area', '51', 'located', '?']	0.2554	0.8645	0.1053	46.0
5	"Having a SPARQL query: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q60 wdt:P6 ?uri . } 
 Where:
 wd:Q60 has human-readable name ""New York City.""
 wdt:P6 has human-readable name ""head of government.""
 Transform the SPARQL query to a natural language question. Output just the transformed question"	Who is the head of government of New York City?	Who is the mayor of New York City?	en	gpt-3.5-turbo	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q60 wdt:P6 ?uri . }	['Who', 'is', 'the', 'head', 'of', 'government', 'of', 'New', 'York', 'City', '?']	['Who', 'is', 'the', 'mayor', 'of', 'New', 'York', 'City', '?']	0.4692	2.3054	0.8235	15.0
7	"Having a SPARQL query: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q91 wdt:P20 ?uri }  
 Where:
 wd:Q91 has human-readable name ""Abraham Lincoln.""
 wdt:P20 has human-readable name ""place of death.""
 Transform the SPARQL query to a natural language question. Output just the transformed question"	What is the place of death of Abraham Lincoln?	Where did Abraham Lincoln die?	en	gpt-3.5-turbo	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q91 wdt:P20 ?uri } 	['What', 'is', 'the', 'place', 'of', 'death', 'of', 'Abraham', 'Lincoln', '?']	['Where', 'did', 'Abraham', 'Lincoln', 'die', '?']	0.1983	0.7755	0.1538	27.0
8	"Having a SPARQL query: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q51747 wdt:P113 ?uri . } 
 Where:
 wd:Q51747 has human-readable name ""Air China.""
 wdt:P113 has human-readable name ""airline hub.""
 Transform the SPARQL query to a natural language question. Output just the transformed question"	Which airline hub is associated with Air China?	Which airports does Air China serve?	en	gpt-3.5-turbo	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q51747 wdt:P113 ?uri . }	['Which', 'airline', 'hub', 'is', 'associated', 'with', 'Air', 'China', '?']	['Which', 'airports', 'does', 'Air', 'China', 'serve', '?']	0.2228	1.2477	0.2857	29.0
9	"Having a SPARQL query: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { ?film wdt:P57 wd:Q16297 ; wdt:P161 wd:Q16297   . ?film wdt:P161 ?uri . } 
 Where:
 wdt:P57 has human-readable name ""director.""
 wd:Q16297 has human-readable name ""William Shatner.""
 wdt:P161 has human-readable name ""cast member.""
 wd:Q16297 has human-readable name ""William Shatner.""
 wdt:P161 has human-readable name ""cast member.""
 Transform the SPARQL query to a natural language question. Output just the transformed question"	Which movies directed by William Shatner have William Shatner as a cast member?	Give me all actors starring in movies directed by and starring William Shatner.	en	gpt-3.5-turbo	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { ?film wdt:P57 wd:Q16297 ; wdt:P161 wd:Q16297   . ?film wdt:P161 ?uri . }	['Which', 'movies', 'directed', 'by', 'William', 'Shatner', 'have', 'William', 'Shatner', 'as', 'a', 'cast', 'member', '?']	['Give', 'me', 'all', 'actors', 'starring', 'in', 'movies', 'directed', 'by', 'and', 'starring', 'William', 'Shatner', '.']	0.1935	1.3598	0.4348	64.0
10	"Having a SPARQL query: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q928 wdt:P37 ?uri . } 
 Where:
 wd:Q928 has human-readable name ""Philippines.""
 wdt:P37 has human-readable name ""official language.""
 Transform the SPARQL query to a natural language question. Output just the transformed question"	What is the official language of the Philippines?	What are the official languages of the Philippines?	en	gpt-3.5-turbo	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q928 wdt:P37 ?uri . }	['What', 'is', 'the', 'official', 'language', 'of', 'the', 'Philippines', '?']	['What', 'are', 'the', 'official', 'languages', 'of', 'the', 'Philippines', '?']	0.3689	2.4933	0.7143	4.0
11	"Having a SPARQL query: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { ?type wdt:P279* wd:Q11424 . ?uri wdt:P31 ?type ; wdt:P495 wd:Q35 . } 
 Where:
 wdt:P279 has human-readable name ""subclass of.""
 wd:Q11424 has human-readable name ""film.""
 wdt:P31 has human-readable name ""instance of.""
 wdt:P495 has human-readable name ""country of origin.""
 wd:Q35 has human-readable name ""Denmark.""
 Transform the SPARQL query to a natural language question. Output just the transformed question"	"Which URIs represent films that are instances of a subclass of ""film"" and have Denmark as their country of origin?"	Give me all Danish films.	en	gpt-3.5-turbo	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { ?type wdt:P279* wd:Q11424 . ?uri wdt:P31 ?type ; wdt:P495 wd:Q35 . }	"['Which', 'URIs', 'represent', 'films', 'that', 'are', 'instances', 'of', 'a', 'subclass', 'of', '``', 'film', ""''"", 'and', 'have', 'Denmark', 'as', 'their', 'country', 'of', 'origin', '?']"	['Give', 'me', 'all', 'Danish', 'films', '.']	0.1785	0.1124	0.087	97.0
