id	prompt	generated_nl	gold_standard_nl	lang	model	prompt_type	query	tokenized_generated_nl	tokenized_gold_standard_nl	sentence_bleu	sentence_nist	rougeL	levenshtein
1	"---- Start Example ---- 
 Having a SPARQL query: SELECT DISTINCT ?uri WHERE { <http://www.wikidata.org/entity/Q986> <http://www.wikidata.org/prop/direct/P35> ?uri} 
 Where:
 http://www.wikidata.org/entity/Q986 has human-readable name ""Eritrea.""
 http://www.wikidata.org/prop/direct/P35 has human-readable name ""head of state.""
 Transform the SPARQL query to a natural language question. Output just the transformed question. Who is the president of Eritrea? 
 ----End Example ---- 
Having a SPARQL query: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { ?uri wdt:P31 wd:Q131436 . } 
 Where:
 wdt:P31 has human-readable name ""instance of.""
 wd:Q131436 has human-readable name ""board game.""
 Transform the SPARQL query to a natural language question. Output just the transformed question"	"What is an instance of a board game? (This may not be a clear question due to the general nature of the query, as ""board game"" could encompass a wide range of specific games. It would be more specific and clear if the query used the name of a specific board game entity instead of the board game class.)"	List all boardgames by GMT.	en	mistralai/Mistral-7B-Instruct-v0.2	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { ?uri wdt:P31 wd:Q131436 . }	"['What', 'is', 'an', 'instance', 'of', 'a', 'board', 'game', '?', '(', 'This', 'may', 'not', 'be', 'a', 'clear', 'question', 'due', 'to', 'the', 'general', 'nature', 'of', 'the', 'query', ',', 'as', '``', 'board', 'game', ""''"", 'could', 'encompass', 'a', 'wide', 'range', 'of', 'specific', 'games', '.', 'It', 'would', 'be', 'more', 'specific', 'and', 'clear', 'if', 'the', 'query', 'used', 'the', 'name', 'of', 'a', 'specific', 'board', 'game', 'entity', 'instead', 'of', 'the', 'board', 'game', 'class', '.', ')']"	['List', 'all', 'boardgames', 'by', 'GMT', '.']	0.1503	0.0386	0.0	280.0
2	"---- Start Example ---- 
 Having a SPARQL query: SELECT DISTINCT ?uri WHERE { ?uri <http://www.wikidata.org/prop/direct/P31> <http://www.wikidata.org/entity/Q11424> . ?uri <http://www.wikidata.org/prop/direct/P162> <http://www.wikidata.org/entity/Q72792> . } 
 Where:
 http://www.wikidata.org/prop/direct/P31 has human-readable name ""instance of.""
 http://www.wikidata.org/entity/Q11424 has human-readable name ""film.""
 http://www.wikidata.org/prop/direct/P162 has human-readable name ""producer.""
 http://www.wikidata.org/entity/Q72792 has human-readable name ""Hal Roach.""
 Transform the SPARQL query to a natural language question. Output just the transformed question. Give me all films produced by Hal Roach. 
 ----End Example ---- 
Having a SPARQL query: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { wd:Q40984 wdt:P178 ?uri . } 
 Where:
 wd:Q40984 has human-readable name ""Skype.""
 wdt:P178 has human-readable name ""developer.""
 Transform the SPARQL query to a natural language question. Output just the transformed question"	Which films were developed by Hal Roach? (or What films does Hal Roach have a producer role in?)	Who developed Skype?	en	mistralai/Mistral-7B-Instruct-v0.2	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { wd:Q40984 wdt:P178 ?uri . }	['Which', 'films', 'were', 'developed', 'by', 'Hal', 'Roach', '?', '(', 'or', 'What', 'films', 'does', 'Hal', 'Roach', 'have', 'a', 'producer', 'role', 'in', '?', ')']	['Who', 'developed', 'Skype', '?']	0.2135	0.1818	0.1053	80.0
3	"---- Start Example ---- 
 Having a SPARQL query: SELECT DISTINCT ?uri WHERE { ?uri <http://www.wikidata.org/prop/direct/P31> <http://www.wikidata.org/entity/Q482994> . ?uri <http://www.wikidata.org/prop/direct/P175> <http://www.wikidata.org/entity/Q15862> . ?uri <http://www.wikidata.org/prop/direct/P577> ?date } ORDER BY ?date LIMIT 1 
 Where:
 http://www.wikidata.org/prop/direct/P31 has human-readable name ""instance of.""
 http://www.wikidata.org/entity/Q482994 has human-readable name ""album.""
 http://www.wikidata.org/prop/direct/P175 has human-readable name ""performer.""
 http://www.wikidata.org/entity/Q15862 has human-readable name ""Queen.""
 http://www.wikidata.org/prop/direct/P577 has human-readable name ""publication date.""
 Transform the SPARQL query to a natural language question. Output just the transformed question. What was the first Queen album? 
 ----End Example ---- 
Having a SPARQL query: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { ?uri wdt:P19 wd:Q160544 . } 
 Where:
 wdt:P19 has human-readable name ""place of birth.""
 wd:Q160544 has human-readable name ""Heraklion.""
 Transform the SPARQL query to a natural language question. Output just the transformed question"	What is the place of birth of Q160544 (Heraklion)?	Which people were born in Heraklion?	en	mistralai/Mistral-7B-Instruct-v0.2	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { ?uri wdt:P19 wd:Q160544 . }	['What', 'is', 'the', 'place', 'of', 'birth', 'of', 'Q160544', '(', 'Heraklion', ')', '?']	['Which', 'people', 'were', 'born', 'in', 'Heraklion', '?']	0.229	0.4679	0.0	29.0
4	"---- Start Example ---- 
 Having a SPARQL query: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q49740 wdt:P178 ?uri . } 
 Where:
 wd:Q49740 has human-readable name ""Minecraft.""
 wdt:P178 has human-readable name ""developer.""
 Transform the SPARQL query to a natural language question. Output just the transformed question. Who developed Minecraft? 
 ----End Example ---- 
Having a SPARQL query: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q177397 wdt:P131 ?obj . ?obj wdt:P131 ?uri . } 
 Where:
 wd:Q177397 has human-readable name ""area pepper.""
 wdt:P131 has human-readable name ""located in the administrative territorial entity.""
 wdt:P131 has human-readable name ""located in the administrative territorial entity.""
 Transform the SPARQL query to a natural language question. Output just the transformed question"	In which administrative territorial entity is area pepper located? (Note: There may be multiple answers if there are multiple locations for area pepper)	In which U.S. state is Area 51 located?	en	mistralai/Mistral-7B-Instruct-v0.2	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q177397 wdt:P131 ?obj . ?obj wdt:P131 ?uri . }	['In', 'which', 'administrative', 'territorial', 'entity', 'is', 'area', 'pepper', 'located', '?', '(', 'Note', ':', 'There', 'may', 'be', 'multiple', 'answers', 'if', 'there', 'are', 'multiple', 'locations', 'for', 'area', 'pepper', ')']	['In', 'which', 'U.S.', 'state', 'is', 'Area', '51', 'located', '?']	0.173	0.587	0.2667	121.0
5	"---- Start Example ---- 
 Having a SPARQL query: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { ?uri wdt:P31 wd:Q9143 ; wdt:P737 wd:Q42478 . } 
 Where:
 wdt:P31 has human-readable name ""instance of.""
 wd:Q9143 has human-readable name ""programming language.""
 wdt:P737 has human-readable name ""influenced by.""
 wd:Q42478 has human-readable name ""Perl.""
 Transform the SPARQL query to a natural language question. Output just the transformed question. Which programming languages were influenced by Perl? 
 ----End Example ---- 
Having a SPARQL query: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q60 wdt:P6 ?uri . } 
 Where:
 wd:Q60 has human-readable name ""New York City.""
 wdt:P6 has human-readable name ""head of government.""
 Transform the SPARQL query to a natural language question. Output just the transformed question"	Which person has been the head of government for New York City?	Who is the mayor of New York City?	en	mistralai/Mistral-7B-Instruct-v0.2	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q60 wdt:P6 ?uri . }	['Which', 'person', 'has', 'been', 'the', 'head', 'of', 'government', 'for', 'New', 'York', 'City', '?']	['Who', 'is', 'the', 'mayor', 'of', 'New', 'York', 'City', '?']	0.214	1.463	0.5	33.0
7	"---- Start Example ---- 
 Having a SPARQL query: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q5451 wdt:P17 ?country . ?country wdt:P36 ?uri . } 
 Where:
 wd:Q5451 has human-readable name ""Himalayas.""
 wdt:P17 has human-readable name ""country.""
 wdt:P36 has human-readable name ""capital.""
 Transform the SPARQL query to a natural language question. Output just the transformed question. Give me the capitals of all countries that the Himalayas run through. 
 ----End Example ---- 
Having a SPARQL query: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q91 wdt:P20 ?uri }  
 Where:
 wd:Q91 has human-readable name ""Abraham Lincoln.""
 wdt:P20 has human-readable name ""place of death.""
 Transform the SPARQL query to a natural language question. Output just the transformed question"	What are the places where Abraham Lincoln died?	Where did Abraham Lincoln die?	en	mistralai/Mistral-7B-Instruct-v0.2	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q91 wdt:P20 ?uri } 	['What', 'are', 'the', 'places', 'where', 'Abraham', 'Lincoln', 'died', '?']	['Where', 'did', 'Abraham', 'Lincoln', 'die', '?']	0.2073	0.8617	0.3077	21.0
8	"---- Start Example ---- 
 Having a SPARQL query: SELECT DISTINCT ?uri WHERE { <http://www.wikidata.org/entity/Q35600> <http://www.wikidata.org/prop/direct/P610> ?uri . } 
 Where:
 http://www.wikidata.org/entity/Q35600 has human-readable name ""Ural Mountains.""
 http://www.wikidata.org/prop/direct/P610 has human-readable name ""highest point.""
 Transform the SPARQL query to a natural language question. Output just the transformed question. What is the highest place of the Urals? 
 ----End Example ---- 
Having a SPARQL query: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q51747 wdt:P113 ?uri . } 
 Where:
 wd:Q51747 has human-readable name ""Air China.""
 wdt:P113 has human-readable name ""airline hub.""
 Transform the SPARQL query to a natural language question. Output just the transformed question"	What is the airline hub of Air China?	Which airports does Air China serve?	en	mistralai/Mistral-7B-Instruct-v0.2	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q51747 wdt:P113 ?uri . }	['What', 'is', 'the', 'airline', 'hub', 'of', 'Air', 'China', '?']	['Which', 'airports', 'does', 'Air', 'China', 'serve', '?']	0.2073	0.9358	0.1429	24.0
9	"---- Start Example ---- 
 Having a SPARQL query: SELECT DISTINCT ?uri WHERE { ?uri <http://www.wikidata.org/prop/direct/P31> <http://www.wikidata.org/entity/Q6256> . ?uri <http://www.wikidata.org/prop/direct/P37> <http://www.wikidata.org/entity/Q5287> . }  
 Where:
 http://www.wikidata.org/prop/direct/P31 has human-readable name ""instance of.""
 http://www.wikidata.org/entity/Q6256 has human-readable name ""country.""
 http://www.wikidata.org/prop/direct/P37 has human-readable name ""official language.""
 http://www.wikidata.org/entity/Q5287 has human-readable name ""Japanese.""
 Transform the SPARQL query to a natural language question. Output just the transformed question. In which countries do people speak Japanese? 
 ----End Example ---- 
Having a SPARQL query: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { ?film wdt:P57 wd:Q16297 ; wdt:P161 wd:Q16297   . ?film wdt:P161 ?uri . } 
 Where:
 wdt:P57 has human-readable name ""director.""
 wd:Q16297 has human-readable name ""William Shatner.""
 wdt:P161 has human-readable name ""cast member.""
 wd:Q16297 has human-readable name ""William Shatner.""
 wdt:P161 has human-readable name ""cast member.""
 Transform the SPARQL query to a natural language question. Output just the transformed question"	Which films feature William Shatner as a cast member?	Give me all actors starring in movies directed by and starring William Shatner.	en	mistralai/Mistral-7B-Instruct-v0.2	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { ?film wdt:P57 wd:Q16297 ; wdt:P161 wd:Q16297   . ?film wdt:P161 ?uri . }	['Which', 'films', 'feature', 'William', 'Shatner', 'as', 'a', 'cast', 'member', '?']	['Give', 'me', 'all', 'actors', 'starring', 'in', 'movies', 'directed', 'by', 'and', 'starring', 'William', 'Shatner', '.']	0.1201	0.4724	0.1905	61.0
10	"---- Start Example ---- 
 Having a SPARQL query: SELECT DISTINCT ?uri WHERE { <http://www.wikidata.org/entity/Q11297> <http://www.wikidata.org/prop/direct/P131> ?uri . { ?uri <http://www.wikidata.org/prop/direct/P31> <http://www.wikidata.org/entity/Q515> . } UNION {?uri <http://www.wikidata.org/prop/direct/P31>/<http://www.wikidata.org/prop/direct/P279> <http://www.wikidata.org/entity/Q515> . } } 
 Where:
 http://www.wikidata.org/entity/Q11297 has human-readable name ""Headquarters of the United Nations.""
 http://www.wikidata.org/prop/direct/P131 has human-readable name ""located in the administrative territorial entity.""
 http://www.wikidata.org/prop/direct/P31 has human-readable name ""instance of.""
 http://www.wikidata.org/entity/Q515 has human-readable name ""city.""
 http://www.wikidata.org/prop/direct/P31 has human-readable name ""instance of.""
 http://www.wikidata.org/prop/direct/P279 has human-readable name ""subclass of.""
 http://www.wikidata.org/entity/Q515 has human-readable name ""city.""
 Transform the SPARQL query to a natural language question. Output just the transformed question. In which city are the headquarters of the United Nations? 
 ----End Example ---- 
Having a SPARQL query: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q928 wdt:P37 ?uri . } 
 Where:
 wd:Q928 has human-readable name ""Philippines.""
 wdt:P37 has human-readable name ""official language.""
 Transform the SPARQL query to a natural language question. Output just the transformed question"	In which city is the official language of the Philippines spoken?	What are the official languages of the Philippines?	en	mistralai/Mistral-7B-Instruct-v0.2	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q928 wdt:P37 ?uri . }	['In', 'which', 'city', 'is', 'the', 'official', 'language', 'of', 'the', 'Philippines', 'spoken', '?']	['What', 'are', 'the', 'official', 'languages', 'of', 'the', 'Philippines', '?']	0.2284	1.6001	0.3529	22.0
11	"---- Start Example ---- 
 Having a SPARQL query: ASK WHERE { <http://www.wikidata.org/entity/Q53696> <http://www.wikidata.org/prop/direct/P171>* <http://www.wikidata.org/entity/Q10908> . } 
 Where:
 http://www.wikidata.org/entity/Q53696 has human-readable name ""Hylidae.""
 http://www.wikidata.org/prop/direct/P171 has human-readable name ""parent taxon.""
 http://www.wikidata.org/entity/Q10908 has human-readable name ""Amphibia.""
 Transform the SPARQL query to a natural language question. Output just the transformed question. Are tree frogs a type of amphibian? 
 ----End Example ---- 
Having a SPARQL query: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { ?type wdt:P279* wd:Q11424 . ?uri wdt:P31 ?type ; wdt:P495 wd:Q35 . } 
 Where:
 wdt:P279 has human-readable name ""subclass of.""
 wd:Q11424 has human-readable name ""film.""
 wdt:P31 has human-readable name ""instance of.""
 wdt:P495 has human-readable name ""country of origin.""
 wd:Q35 has human-readable name ""Denmark.""
 Transform the SPARQL query to a natural language question. Output just the transformed question"	What films originate from Denmark and belong to which instances?	Give me all Danish films.	en	mistralai/Mistral-7B-Instruct-v0.2	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { ?type wdt:P279* wd:Q11424 . ?uri wdt:P31 ?type ; wdt:P495 wd:Q35 . }	['What', 'films', 'originate', 'from', 'Denmark', 'and', 'belong', 'to', 'which', 'instances', '?']	['Give', 'me', 'all', 'Danish', 'films', '.']	0.1941	0.235	0.1333	51.0
