id	prompt	generated_nl	gold_standard_nl	lang	model	prompt_type	query	tokenized_generated_nl	tokenized_gold_standard_nl	sentence_bleu	sentence_nist	rougeL	levenshtein
1	"Gegeben ist die SPARQL-Anfrage: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q2105 wdt:P26 ?uri . } 
 Dabei gilt:
 Die Bezeichnung von wd:Q2105 ist ""Jacques Chirac.""
 Die Bezeichnung von wdt:P26 ist ""Ehepartner(in).""
 Transformiere die SPARQL-Anfrage in eine Frage in natürlicher Sprache. Gib nur die transformierte Frage aus.. Wer hat Präsident Chirac geheiratet? 
 ----------- 
Gegeben ist die SPARQL-Anfrage: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { ?uri wdt:P31 wd:Q131436 . } 
 Dabei gilt:
 Die Bezeichnung von wdt:P31 ist ""ist ein(e).""
 Die Bezeichnung von wd:Q131436 ist ""Brettspiel.""
 Transformiere die SPARQL-Anfrage in eine Frage in natürlicher Sprache. Gib nur die transformierte Frage aus."	Welche Objekte sind Brettspiele?	Liste die Brettspiele von GMT auf.	de	gpt-3.5-turbo	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { ?uri wdt:P31 wd:Q131436 . }	['Welche', 'Objekte', 'sind', 'Brettspiele', '?']	['Liste', 'die', 'Brettspiele', 'von', 'GMT', 'auf', '.']	0.1333	0.3484	0.0	28.0
1	"Gegeben ist die SPARQL-Anfrage: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q2105 wdt:P26 ?uri . } 
 Dabei gilt:
 Die Bezeichnung von wd:Q2105 ist ""Jacques Chirac.""
 Die Bezeichnung von wdt:P26 ist ""Ehepartner(in).""
 Transformiere die SPARQL-Anfrage in eine Frage in natürlicher Sprache. Gib nur die transformierte Frage aus.. Wer hat Präsident Chirac geheiratet? 
 ----------- 
Gegeben ist die SPARQL-Anfrage: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { ?uri wdt:P31 wd:Q131436 . } 
 Dabei gilt:
 Die Bezeichnung von wdt:P31 ist ""ist ein(e).""
 Die Bezeichnung von wd:Q131436 ist ""Brettspiel.""
 Transformiere die SPARQL-Anfrage in eine Frage in natürlicher Sprache. Gib nur die transformierte Frage aus."	Welche Objekte sind Brettspiele?	Zeige mir alle Brettspiele von GMT.	de	gpt-3.5-turbo	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { ?uri wdt:P31 wd:Q131436 . }	['Welche', 'Objekte', 'sind', 'Brettspiele', '?']	['Zeige', 'mir', 'alle', 'Brettspiele', 'von', 'GMT', '.']	0.1333	0.3484	0.0	24.0
2	"Gegeben ist die SPARQL-Anfrage: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?name WHERE { wd:Q23215 wdt:P1477 ?name. } 
 Dabei gilt:
 Die Bezeichnung von wd:Q23215 ist ""Adele.""
 Die Bezeichnung von wdt:P1477 ist ""Geburtsname.""
 Transformiere die SPARQL-Anfrage in eine Frage in natürlicher Sprache. Gib nur die transformierte Frage aus.. Wie ist der Geburtsname von Adele? 
 ----------- 
Gegeben ist die SPARQL-Anfrage: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { wd:Q40984 wdt:P178 ?uri . } 
 Dabei gilt:
 Die Bezeichnung von wd:Q40984 ist ""Skype.""
 Die Bezeichnung von wdt:P178 ist ""Entwickler.""
 Transformiere die SPARQL-Anfrage in eine Frage in natürlicher Sprache. Gib nur die transformierte Frage aus."	Wer hat Skype entwickelt?	Wer entwickelte Skype?	de	gpt-3.5-turbo	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { wd:Q40984 wdt:P178 ?uri . }	['Wer', 'hat', 'Skype', 'entwickelt', '?']	['Wer', 'entwickelte', 'Skype', '?']	0.2616	1.2	0.2857	16.0
2	"Gegeben ist die SPARQL-Anfrage: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?name WHERE { wd:Q23215 wdt:P1477 ?name. } 
 Dabei gilt:
 Die Bezeichnung von wd:Q23215 ist ""Adele.""
 Die Bezeichnung von wdt:P1477 ist ""Geburtsname.""
 Transformiere die SPARQL-Anfrage in eine Frage in natürlicher Sprache. Gib nur die transformierte Frage aus.. Wie ist der Geburtsname von Adele? 
 ----------- 
Gegeben ist die SPARQL-Anfrage: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { wd:Q40984 wdt:P178 ?uri . } 
 Dabei gilt:
 Die Bezeichnung von wd:Q40984 ist ""Skype.""
 Die Bezeichnung von wdt:P178 ist ""Entwickler.""
 Transformiere die SPARQL-Anfrage in eine Frage in natürlicher Sprache. Gib nur die transformierte Frage aus."	Wer hat Skype entwickelt?	Wer hat Skype entwickelt?	de	gpt-3.5-turbo	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { wd:Q40984 wdt:P178 ?uri . }	['Wer', 'hat', 'Skype', 'entwickelt', '?']	['Wer', 'hat', 'Skype', 'entwickelt', '?']	1.0	2.3219	1.0	0.0
3	"Gegeben ist die SPARQL-Anfrage: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q168383 wdt:P127 ?uri . } 
 Dabei gilt:
 Die Bezeichnung von wd:Q168383 ist ""The Universal Pictures.""
 Die Bezeichnung von wdt:P127 ist ""Eigentümer.""
 Transformiere die SPARQL-Anfrage in eine Frage in natürlicher Sprache. Gib nur die transformierte Frage aus.. Wem gehören die Universal Studios? 
 ----------- 
Gegeben ist die SPARQL-Anfrage: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { ?uri wdt:P19 wd:Q160544 . } 
 Dabei gilt:
 Die Bezeichnung von wdt:P19 ist ""Geburtsort.""
 Die Bezeichnung von wd:Q160544 ist ""Heraklion.""
 Transformiere die SPARQL-Anfrage in eine Frage in natürlicher Sprache. Gib nur die transformierte Frage aus."	Wo wurden die Universal Studios geboren?	Welche Personen wurden in Heraklion geboren?	de	gpt-3.5-turbo	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { ?uri wdt:P19 wd:Q160544 . }	['Wo', 'wurden', 'die', 'Universal', 'Studios', 'geboren', '?']	['Welche', 'Personen', 'wurden', 'in', 'Heraklion', 'geboren', '?']	0.2302	1.2032	0.3333	26.0
3	"Gegeben ist die SPARQL-Anfrage: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q168383 wdt:P127 ?uri . } 
 Dabei gilt:
 Die Bezeichnung von wd:Q168383 ist ""The Universal Pictures.""
 Die Bezeichnung von wdt:P127 ist ""Eigentümer.""
 Transformiere die SPARQL-Anfrage in eine Frage in natürlicher Sprache. Gib nur die transformierte Frage aus.. Wem gehören die Universal Studios? 
 ----------- 
Gegeben ist die SPARQL-Anfrage: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { ?uri wdt:P19 wd:Q160544 . } 
 Dabei gilt:
 Die Bezeichnung von wdt:P19 ist ""Geburtsort.""
 Die Bezeichnung von wd:Q160544 ist ""Heraklion.""
 Transformiere die SPARQL-Anfrage in eine Frage in natürlicher Sprache. Gib nur die transformierte Frage aus."	Wo wurden die Universal Studios geboren?	Welche Menschen wurden in Heraklion geboren?	de	gpt-3.5-turbo	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { ?uri wdt:P19 wd:Q160544 . }	['Wo', 'wurden', 'die', 'Universal', 'Studios', 'geboren', '?']	['Welche', 'Menschen', 'wurden', 'in', 'Heraklion', 'geboren', '?']	0.2302	1.2032	0.3333	26.0
4	"Gegeben ist die SPARQL-Anfrage: SELECT DISTINCT ?uri WHERE {  ?uri <http://www.wikidata.org/prop/direct/P161> <http://www.wikidata.org/entity/Q219512> . } 
 Dabei gilt:
 Die Bezeichnung von http://www.wikidata.org/prop/direct/P161 ist ""Darsteller.""
 Die Bezeichnung von http://www.wikidata.org/entity/Q219512 ist ""Jesse Eisenberg.""
 Transformiere die SPARQL-Anfrage in eine Frage in natürlicher Sprache. Gib nur die transformierte Frage aus.. In welchen Filmen spielt Jesse Eisenberg mit? 
 ----------- 
Gegeben ist die SPARQL-Anfrage: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q177397 wdt:P131 ?obj . ?obj wdt:P131 ?uri . } 
 Dabei gilt:
 Die Bezeichnung von wd:Q177397 ist ""Area 51.""
 Die Bezeichnung von wdt:P131 ist ""liegt in der Verwaltungseinheit.""
 Die Bezeichnung von wdt:P131 ist ""liegt in der Verwaltungseinheit.""
 Transformiere die SPARQL-Anfrage in eine Frage in natürlicher Sprache. Gib nur die transformierte Frage aus."	In welcher Verwaltungseinheit liegt die Area 51?	In welchem Bundesstaat liegt Area 51?	de	gpt-3.5-turbo	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q177397 wdt:P131 ?obj . ?obj wdt:P131 ?uri . }	['In', 'welcher', 'Verwaltungseinheit', 'liegt', 'die', 'Area', '51', '?']	['In', 'welchem', 'Bundesstaat', 'liegt', 'Area', '51', '?']	0.2724	1.7546	0.6154	19.0
4	"Gegeben ist die SPARQL-Anfrage: SELECT DISTINCT ?uri WHERE {  ?uri <http://www.wikidata.org/prop/direct/P161> <http://www.wikidata.org/entity/Q219512> . } 
 Dabei gilt:
 Die Bezeichnung von http://www.wikidata.org/prop/direct/P161 ist ""Darsteller.""
 Die Bezeichnung von http://www.wikidata.org/entity/Q219512 ist ""Jesse Eisenberg.""
 Transformiere die SPARQL-Anfrage in eine Frage in natürlicher Sprache. Gib nur die transformierte Frage aus.. In welchen Filmen spielt Jesse Eisenberg mit? 
 ----------- 
Gegeben ist die SPARQL-Anfrage: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q177397 wdt:P131 ?obj . ?obj wdt:P131 ?uri . } 
 Dabei gilt:
 Die Bezeichnung von wd:Q177397 ist ""Area 51.""
 Die Bezeichnung von wdt:P131 ist ""liegt in der Verwaltungseinheit.""
 Die Bezeichnung von wdt:P131 ist ""liegt in der Verwaltungseinheit.""
 Transformiere die SPARQL-Anfrage in eine Frage in natürlicher Sprache. Gib nur die transformierte Frage aus."	In welcher Verwaltungseinheit liegt die Area 51?	In welchem US Bundesstaat liegt Area 51?	de	gpt-3.5-turbo	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q177397 wdt:P131 ?obj . ?obj wdt:P131 ?uri . }	['In', 'welcher', 'Verwaltungseinheit', 'liegt', 'die', 'Area', '51', '?']	['In', 'welchem', 'US', 'Bundesstaat', 'liegt', 'Area', '51', '?']	0.2724	1.875	0.5714	19.0
5	"Gegeben ist die SPARQL-Anfrage: PREFIX pq: <http://www.wikidata.org/prop/qualifier/> PREFIX ps: <http://www.wikidata.org/prop/statement/> PREFIX wdt: <http://www.wikidata.org/prop/direct/>  PREFIX wd: <http://www.wikidata.org/entity/> PREFIX p: <http://www.wikidata.org/prop/> SELECT ?uri WHERE { wd:Q9696 p:P39 ?statement . ?statement ps:P39 wd:Q11696 ; pq:P1366 ?uri . } 
 Dabei gilt:
 Die Bezeichnung von wd:Q9696 ist ""John F. Kennedy.""
 Die Bezeichnung von p:P39 ist ""öffentliches Amt oder Stellung.""
 Die Bezeichnung von ps:P39 ist ""öffentliches Amt oder Stellung.""
 Die Bezeichnung von wd:Q11696 ist ""Präsident der Vereinigten Staaten.""
 Die Bezeichnung von pq:P1366 ist ""ersetzt durch.""
 Transformiere die SPARQL-Anfrage in eine Frage in natürlicher Sprache. Gib nur die transformierte Frage aus.. Wer war der Nachfolger von John F. Kennedy? 
 ----------- 
Gegeben ist die SPARQL-Anfrage: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q60 wdt:P6 ?uri . } 
 Dabei gilt:
 Die Bezeichnung von wd:Q60 ist ""New York City.""
 Die Bezeichnung von wdt:P6 ist ""Leiter der Regierung oder Verwaltung.""
 Transformiere die SPARQL-Anfrage in eine Frage in natürlicher Sprache. Gib nur die transformierte Frage aus."	Wer ist der Leiter der Regierung oder Verwaltung von New York City?	Wer ist der Bürgermeister von New York City?	de	gpt-3.5-turbo	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q60 wdt:P6 ?uri . }	['Wer', 'ist', 'der', 'Leiter', 'der', 'Regierung', 'oder', 'Verwaltung', 'von', 'New', 'York', 'City', '?']	['Wer', 'ist', 'der', 'Bürgermeister', 'von', 'New', 'York', 'City', '?']	0.3868	1.9507	0.7368	29.0
7	"Gegeben ist die SPARQL-Anfrage: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?res WHERE { wd:Q1163227 wdt:P50 ?res. } 
 Dabei gilt:
 Die Bezeichnung von wd:Q1163227 ist ""Die Säulen der Erde.""
 Die Bezeichnung von wdt:P50 ist ""Autor.""
 Transformiere die SPARQL-Anfrage in eine Frage in natürlicher Sprache. Gib nur die transformierte Frage aus.. Wer hat das Buch die Säulen der Erde geschrieben? 
 ----------- 
Gegeben ist die SPARQL-Anfrage: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q91 wdt:P20 ?uri }  
 Dabei gilt:
 Die Bezeichnung von wd:Q91 ist ""Abraham Lincoln.""
 Die Bezeichnung von wdt:P20 ist ""Sterbeort.""
 Transformiere die SPARQL-Anfrage in eine Frage in natürlicher Sprache. Gib nur die transformierte Frage aus."	Wo ist Abraham Lincoln gestorben?	Wo starb Abraham Lincoln?	de	gpt-3.5-turbo	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q91 wdt:P20 ?uri } 	['Wo', 'ist', 'Abraham', 'Lincoln', 'gestorben', '?']	['Wo', 'starb', 'Abraham', 'Lincoln', '?']	0.2633	1.548	0.4444	14.0
