id	prompt	generated_nl	gold_standard_nl	lang	model	prompt_type	query
1	"---- Comienzo del Ejemplo ---- 
 Teniendo una consulta SPARQL: PREFIX wdt: <http://www.wikidata.org/prop/direct/>  PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?val WHERE { wd:Q949779 wdt:P1082 ?val . } 
 Donde:
 wd:Q949779 tiene un nombre legible por humanos ""Melbourne.""
 wdt:P1082 tiene un nombre legible por humanos ""población.""
 Transforma la consulta SPARQL en una pregunta en lenguaje natural. Muestra solo la pregunta transformada. ¿Cuál es la población total de Melbourne, Florida? 
 ---- Fin del Ejemplo ---- 
Teniendo una consulta SPARQL: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { ?uri wdt:P31 wd:Q131436 . } 
 Donde:
 wdt:P31 tiene un nombre legible por humanos ""instancia de.""
 wd:Q131436 tiene un nombre legible por humanos ""juego de tablero.""
 Transforma la consulta SPARQL en una pregunta en lenguaje natural. Muestra solo la pregunta transformada"	Liste todos los juegos de GMT.	¿Qué juegos de mesa fueron hechos por GMT?	es	ft:gpt-3.5-turbo-0125:personal::9AfWwuZ3	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { ?uri wdt:P31 wd:Q131436 . }
2	"---- Comienzo del Ejemplo ---- 
 Teniendo una consulta SPARQL: PREFIX wdt: <http://www.wikidata.org/prop/direct/>  PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?val WHERE { wd:Q1198 wdt:P2046 ?val . } 
 Donde:
 wd:Q1198 tiene un nombre legible por humanos ""Renania del Norte-Westfalia.""
 wdt:P2046 tiene un nombre legible por humanos ""superficie.""
 Transforma la consulta SPARQL en una pregunta en lenguaje natural. Muestra solo la pregunta transformada. ¿Qué tan grande es el área de Renania del Norte-Westfalia? 
 ---- Fin del Ejemplo ---- 
Teniendo una consulta SPARQL: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { wd:Q40984 wdt:P178 ?uri . } 
 Donde:
 wd:Q40984 tiene un nombre legible por humanos ""Skype.""
 wdt:P178 tiene un nombre legible por humanos ""desarrollador.""
 Transforma la consulta SPARQL en una pregunta en lenguaje natural. Muestra solo la pregunta transformada"	¿Quién desarrolló Skype?	¿Quién desarrolló Skype?	es	ft:gpt-3.5-turbo-0125:personal::9AfWwuZ3	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { wd:Q40984 wdt:P178 ?uri . }
3	"---- Comienzo del Ejemplo ---- 
 Teniendo una consulta SPARQL: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { ?uri wdt:P31 wd:Q8502 ; wdt:P17 wd:Q38 ; wdt:P2044 ?elevation . } ORDER BY DESC(?elevation) LIMIT 1 
 Donde:
 wdt:P31 tiene un nombre legible por humanos ""instancia de.""
 wd:Q8502 tiene un nombre legible por humanos ""montaña.""
 wdt:P17 tiene un nombre legible por humanos ""país.""
 wd:Q38 tiene un nombre legible por humanos ""Italia.""
 wdt:P2044 tiene un nombre legible por humanos ""elevación sobre el nivel del mar.""
 Transforma la consulta SPARQL en una pregunta en lenguaje natural. Muestra solo la pregunta transformada. ¿Cuál es la montaña más alta de Italia? 
 ---- Fin del Ejemplo ---- 
Teniendo una consulta SPARQL: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { ?uri wdt:P19 wd:Q160544 . } 
 Donde:
 wdt:P19 tiene un nombre legible por humanos ""lugar de nacimiento.""
 wd:Q160544 tiene un nombre legible por humanos ""Heraclión.""
 Transforma la consulta SPARQL en una pregunta en lenguaje natural. Muestra solo la pregunta transformada"	¿Quién nació en Heraklion?	¿Qué personas nacieron en Heraklion?	es	ft:gpt-3.5-turbo-0125:personal::9AfWwuZ3	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { ?uri wdt:P19 wd:Q160544 . }
4	"---- Comienzo del Ejemplo ---- 
 Teniendo una consulta SPARQL: SELECT DISTINCT ?o1 WHERE { <http://www.wikidata.org/entity/Q4977246>  <http://www.wikidata.org/prop/direct/P509>  ?o1 .  } 
 Donde:
 http://www.wikidata.org/entity/Q4977246 tiene un nombre legible por humanos ""Bruce Carver.""
 http://www.wikidata.org/prop/direct/P509 tiene un nombre legible por humanos ""causa de muerte.""
 Transforma la consulta SPARQL en una pregunta en lenguaje natural. Muestra solo la pregunta transformada. ¿De qué murió Bruce Carver? 
 ---- Fin del Ejemplo ---- 
Teniendo una consulta SPARQL: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q177397 wdt:P131 ?obj . ?obj wdt:P131 ?uri . } 
 Donde:
 wd:Q177397 tiene un nombre legible por humanos ""Área 51.""
 wdt:P131 tiene un nombre legible por humanos ""situado en la entidad territorial administrativa.""
 wdt:P131 tiene un nombre legible por humanos ""situado en la entidad territorial administrativa.""
 Transforma la consulta SPARQL en una pregunta en lenguaje natural. Muestra solo la pregunta transformada"	¿En qué estado se encuentra la base militar Área 51?	¿En cuál estado de Estados Unidos esta situada el Area 51?	es	ft:gpt-3.5-turbo-0125:personal::9AfWwuZ3	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q177397 wdt:P131 ?obj . ?obj wdt:P131 ?uri . }
5	"---- Comienzo del Ejemplo ---- 
 Teniendo una consulta SPARQL: PREFIX psv: <http://www.wikidata.org/prop/statement/value/> PREFIX wikibase: <http://wikiba.se/ontology#> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> PREFIX p: <http://www.wikidata.org/prop/> SELECT DISTINCT ?uri WHERE { ?uri wdt:P31 wd:Q4022 . ?uri p:P2043 ?stmnode. ?stmnode psv:P2043 ?valuenode . ?valuenode wikibase:quantityAmount ?length . ?valuenode wikibase:quantityUnit ?unit . ?valuenode wikibase:quantityLowerBound ?lowerbound. ?valuenode wikibase:quantityUpperBound ?upperbound. BIND((?upperbound-?lowerbound)/2 AS ?precision). BIND(IF(?precision=0, ?length, (CONCAT(str(?length), ""±"", str(?precision)))) AS ?length2). ?unit p:P2370 ?unitstmnode . ?unitstmnode psv:P2370 ?unitvaluenode . ?unitvaluenode wikibase:quantityAmount ?conversion . ?unitvaluenode wikibase:quantityUnit wd:Q11573 . BIND(?length * ?conversion AS ?length_in_m) . } ORDER BY DESC(?length_in_m) LIMIT 1 
 Donde:
 wdt:P31 tiene un nombre legible por humanos ""instancia de.""
 wd:Q4022 tiene un nombre legible por humanos ""río.""
 p:P2043 tiene un nombre legible por humanos ""longitud.""
 psv:P2043 tiene un nombre legible por humanos ""psv:P2043.""
 wikibase:quantityAmount tiene un nombre legible por humanos ""wikibase:quantityAmount.""
 wikibase:quantityUnit tiene un nombre legible por humanos ""wikibase:quantityUnit.""
 wikibase:quantityLowerBound tiene un nombre legible por humanos ""wikibase:quantityLowerBound.""
 wikibase:quantityUpperBound tiene un nombre legible por humanos ""wikibase:quantityUpperBound.""
 p:P2370 tiene un nombre legible por humanos ""conversión a unidad del SI.""
 psv:P2370 tiene un nombre legible por humanos ""psv:P2370.""
 wikibase:quantityAmount tiene un nombre legible por humanos ""wikibase:quantityAmount.""
 wikibase:quantityUnit tiene un nombre legible por humanos ""wikibase:quantityUnit.""
 wd:Q11573 tiene un nombre legible por humanos ""metro.""
 Transforma la consulta SPARQL en una pregunta en lenguaje natural. Muestra solo la pregunta transformada. ¿Cuál es el río más largo? 
 ---- Fin del Ejemplo ---- 
Teniendo una consulta SPARQL: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q60 wdt:P6 ?uri . } 
 Donde:
 wd:Q60 tiene un nombre legible por humanos ""Nueva York.""
 wdt:P6 tiene un nombre legible por humanos ""jefe de gobierno.""
 Transforma la consulta SPARQL en una pregunta en lenguaje natural. Muestra solo la pregunta transformada"	¿Quién es el alcalde de Nueva York?	¿Quién es el alcalde de la cuidad de Nueva York?	es	ft:gpt-3.5-turbo-0125:personal::9AfWwuZ3	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q60 wdt:P6 ?uri . }
7	"---- Comienzo del Ejemplo ---- 
 Teniendo una consulta SPARQL: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?res WHERE { wd:Q380 wdt:P127 ?res . }  
 Donde:
 wd:Q380 tiene un nombre legible por humanos ""Meta Platforms.""
 wdt:P127 tiene un nombre legible por humanos ""propiedad de.""
 Transforma la consulta SPARQL en una pregunta en lenguaje natural. Muestra solo la pregunta transformada. ¿Quién es el dueño de Facebook? 
 ---- Fin del Ejemplo ---- 
Teniendo una consulta SPARQL: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q91 wdt:P20 ?uri }  
 Donde:
 wd:Q91 tiene un nombre legible por humanos ""Abraham Lincoln.""
 wdt:P20 tiene un nombre legible por humanos ""lugar de fallecimiento.""
 Transforma la consulta SPARQL en una pregunta en lenguaje natural. Muestra solo la pregunta transformada"	Donde murió Abraham Lincoln?	¿Dónde murió Abraham Lincoln?	es	ft:gpt-3.5-turbo-0125:personal::9AfWwuZ3	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q91 wdt:P20 ?uri } 
8	"---- Comienzo del Ejemplo ---- 
 Teniendo una consulta SPARQL: ASK WHERE { <http://www.wikidata.org/entity/Q128160> <http://www.wikidata.org/prop/direct/P582> ?date1 . <http://www.wikidata.org/entity/Q191721> <http://www.wikidata.org/prop/direct/P580> ?date2 . FILTER(?date1 < ?date2) } 
 Donde:
 http://www.wikidata.org/entity/Q128160 tiene un nombre legible por humanos ""Crisis de los misiles en Cuba.""
 http://www.wikidata.org/prop/direct/P582 tiene un nombre legible por humanos ""fecha de fin.""
 http://www.wikidata.org/entity/Q191721 tiene un nombre legible por humanos ""Invasión de Bahía de Cochinos.""
 http://www.wikidata.org/prop/direct/P580 tiene un nombre legible por humanos ""fecha de inicio.""
 Transforma la consulta SPARQL en una pregunta en lenguaje natural. Muestra solo la pregunta transformada. ¿Ocurrió la crisis de los misiles en Cuba antes que la invasión de Bahía de los Cochinos? 
 ---- Fin del Ejemplo ---- 
Teniendo una consulta SPARQL: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q51747 wdt:P113 ?uri . } 
 Donde:
 wd:Q51747 tiene un nombre legible por humanos ""Air China.""
 wdt:P113 tiene un nombre legible por humanos ""centro de conexión.""
 Transforma la consulta SPARQL en una pregunta en lenguaje natural. Muestra solo la pregunta transformada"	¿Qué aeropuertos sirve Air China?	¿En qué aeropuertos opera Air China?	es	ft:gpt-3.5-turbo-0125:personal::9AfWwuZ3	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q51747 wdt:P113 ?uri . }
9	"---- Comienzo del Ejemplo ---- 
 Teniendo una consulta SPARQL: SELECT DISTINCT ?uri WHERE { <http://www.wikidata.org/entity/Q596> <http://www.wikidata.org/prop/direct/P61> ?uri  . } 
 Donde:
 http://www.wikidata.org/entity/Q596 tiene un nombre legible por humanos ""Ceres.""
 http://www.wikidata.org/prop/direct/P61 tiene un nombre legible por humanos ""descubridor o inventor.""
 Transforma la consulta SPARQL en una pregunta en lenguaje natural. Muestra solo la pregunta transformada. ¿Quién descubrió Ceres? 
 ---- Fin del Ejemplo ---- 
Teniendo una consulta SPARQL: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { ?film wdt:P57 wd:Q16297 ; wdt:P161 wd:Q16297   . ?film wdt:P161 ?uri . } 
 Donde:
 wdt:P57 tiene un nombre legible por humanos ""director.""
 wd:Q16297 tiene un nombre legible por humanos ""William Shatner.""
 wdt:P161 tiene un nombre legible por humanos ""miembro del reparto.""
 wd:Q16297 tiene un nombre legible por humanos ""William Shatner.""
 wdt:P161 tiene un nombre legible por humanos ""miembro del reparto.""
 Transforma la consulta SPARQL en una pregunta en lenguaje natural. Muestra solo la pregunta transformada"	Lista a todos los actores que aparecen en películas dirigidas por William Shatner.	¿Qué actores protagonizan películas dirigidas y protagonizadas por William Shatner?	es	ft:gpt-3.5-turbo-0125:personal::9AfWwuZ3	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { ?film wdt:P57 wd:Q16297 ; wdt:P161 wd:Q16297   . ?film wdt:P161 ?uri . }
10	"---- Comienzo del Ejemplo ---- 
 Teniendo una consulta SPARQL: SELECT DISTINCT ?date WHERE { <http://www.wikidata.org/entity/Q211> <http://www.wikidata.org/prop/P463> ?membership . ?membership <http://www.wikidata.org/prop/statement/P463> <http://www.wikidata.org/entity/Q458> . ?membership <http://www.wikidata.org/prop/qualifier/P580> ?date . } 
 Donde:
 http://www.wikidata.org/entity/Q211 tiene un nombre legible por humanos ""Letonia.""
 http://www.wikidata.org/prop/P463 tiene un nombre legible por humanos ""miembro de.""
 http://www.wikidata.org/prop/statement/P463 tiene un nombre legible por humanos ""miembro de.""
 http://www.wikidata.org/entity/Q458 tiene un nombre legible por humanos ""Unión Europea.""
 http://www.wikidata.org/prop/qualifier/P580 tiene un nombre legible por humanos ""fecha de inicio.""
 Transforma la consulta SPARQL en una pregunta en lenguaje natural. Muestra solo la pregunta transformada. ¿Cuándo ingresó Letonia a la Unión Europea? 
 ---- Fin del Ejemplo ---- 
Teniendo una consulta SPARQL: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q928 wdt:P37 ?uri . } 
 Donde:
 wd:Q928 tiene un nombre legible por humanos ""Filipinas.""
 wdt:P37 tiene un nombre legible por humanos ""idioma oficial.""
 Transforma la consulta SPARQL en una pregunta en lenguaje natural. Muestra solo la pregunta transformada"	¿Cuál es el idioma oficial de Filipinas?	¿Cuáles son los idiomas oficiales de Filipinas?	es	ft:gpt-3.5-turbo-0125:personal::9AfWwuZ3	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q928 wdt:P37 ?uri . }
11	"---- Comienzo del Ejemplo ---- 
 Teniendo una consulta SPARQL: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT (COUNT(?uri) as ?c) WHERE { ?uri wdt:P162 wd:Q72792 . } 
 Donde:
 wdt:P162 tiene un nombre legible por humanos ""productor.""
 wd:Q72792 tiene un nombre legible por humanos ""Hal Roach.""
 Transforma la consulta SPARQL en una pregunta en lenguaje natural. Muestra solo la pregunta transformada. ¿Cuántas películas ha producido Hal Roach? 
 ---- Fin del Ejemplo ---- 
Teniendo una consulta SPARQL: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { ?type wdt:P279* wd:Q11424 . ?uri wdt:P31 ?type ; wdt:P495 wd:Q35 . } 
 Donde:
 wdt:P279 tiene un nombre legible por humanos ""subclase de.""
 wd:Q11424 tiene un nombre legible por humanos ""película.""
 wdt:P31 tiene un nombre legible por humanos ""instancia de.""
 wdt:P495 tiene un nombre legible por humanos ""país de origen.""
 wd:Q35 tiene un nombre legible por humanos ""Dinamarca.""
 Transforma la consulta SPARQL en una pregunta en lenguaje natural. Muestra solo la pregunta transformada"	Dame todas las películas danesas.	Dame todas las películas danesas.	es	ft:gpt-3.5-turbo-0125:personal::9AfWwuZ3	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { ?type wdt:P279* wd:Q11424 . ?uri wdt:P31 ?type ; wdt:P495 wd:Q35 . }
