id	prompt	generated_nl	gold_standard_nl	lang	model	prompt_type	query	tokenized_generated_nl	tokenized_gold_standard_nl	sentence_bleu	sentence_nist	rougeL	levenshtein
1	"Имея следующий SPARQL запрос: SELECT DISTINCT ?uri WHERE { ?uri <http://www.wikidata.org/prop/direct/P31> <http://www.wikidata.org/entity/Q476028> . ?uri <http://www.wikidata.org/prop/direct/P118> <http://www.wikidata.org/entity/Q9448> . } 
 Где:
 http://www.wikidata.org/prop/direct/P31 именуется как ""это частный случай понятия.""
 http://www.wikidata.org/entity/Q476028 именуется как ""футбольный клуб.""
 http://www.wikidata.org/prop/direct/P118 именуется как ""выступает в лиге.""
 http://www.wikidata.org/entity/Q9448 именуется как ""Английская Премьер-лига.""
 Трансформируй SPARQL запрос в вопрос на естественном языке. Выведи только транфсормируемый вопрос. Перечислите футбольные клубы Английской Премьер Лиги 
 ----------- 
Имея следующий SPARQL запрос: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { ?uri wdt:P31 wd:Q131436 . } 
 Где:
 wdt:P31 именуется как ""это частный случай понятия.""
 wd:Q131436 именуется как ""игра на специальной доске.""
 Трансформируй SPARQL запрос в вопрос на естественном языке. Выведи только транфсормируемый вопрос"	Перечислите все игры GMT.	Перечислите все игры GMT.	ru	perevalov/Mistral-7B-instruct-v0.2-SPARQL2NL-10-04	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { ?uri wdt:P31 wd:Q131436 . }	['Перечислите', 'все', 'игры', 'GMT', '.']	['Перечислите', 'все', 'игры', 'GMT', '.']	1.0	2.3219	1.0	0.0
2	"Имея следующий SPARQL запрос: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { ?uri wdt:P31/wdt:P279* wd:Q58483083 ; wdt:P86 wd:Q2808 . } 
 Где:
 wdt:P31 именуется как ""это частный случай понятия.""
 wdt:P279 именуется как ""подкласс от.""
 wd:Q58483083 именуется как ""драматико-музыкальное произведение.""
 wdt:P86 именуется как ""композитор.""
 wd:Q2808 именуется как ""Элтон Джон.""
 Трансформируй SPARQL запрос в вопрос на естественном языке. Выведи только транфсормируемый вопрос. Перечисли все мюзиклы с музыкой Элтона Джона. 
 ----------- 
Имея следующий SPARQL запрос: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { wd:Q40984 wdt:P178 ?uri . } 
 Где:
 wd:Q40984 именуется как ""Skype.""
 wdt:P178 именуется как ""разработчик.""
 Трансформируй SPARQL запрос в вопрос на естественном языке. Выведи только транфсормируемый вопрос"	Кто создал Скайп?   	Кто разработал скайп	ru	perevalov/Mistral-7B-instruct-v0.2-SPARQL2NL-10-04	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { wd:Q40984 wdt:P178 ?uri . }	['Кто', 'создал', 'Скайп', '?']	['Кто', 'разработал', 'скайп']	0.1956	0.0	0.3333	12.0
2	"Имея следующий SPARQL запрос: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { ?uri wdt:P31/wdt:P279* wd:Q58483083 ; wdt:P86 wd:Q2808 . } 
 Где:
 wdt:P31 именуется как ""это частный случай понятия.""
 wdt:P279 именуется как ""подкласс от.""
 wd:Q58483083 именуется как ""драматико-музыкальное произведение.""
 wdt:P86 именуется как ""композитор.""
 wd:Q2808 именуется как ""Элтон Джон.""
 Трансформируй SPARQL запрос в вопрос на естественном языке. Выведи только транфсормируемый вопрос. Перечисли все мюзиклы с музыкой Элтона Джона. 
 ----------- 
Имея следующий SPARQL запрос: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { wd:Q40984 wdt:P178 ?uri . } 
 Где:
 wd:Q40984 именуется как ""Skype.""
 wdt:P178 именуется как ""разработчик.""
 Трансформируй SPARQL запрос в вопрос на естественном языке. Выведи только транфсормируемый вопрос"	Кто создал Скайп?   	Кто создал Скайп?	ru	perevalov/Mistral-7B-instruct-v0.2-SPARQL2NL-10-04	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { wd:Q40984 wdt:P178 ?uri . }	['Кто', 'создал', 'Скайп', '?']	['Кто', 'создал', 'Скайп', '?']	1.0	0.0	1.0	3.0
2	"Имея следующий SPARQL запрос: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { ?uri wdt:P31/wdt:P279* wd:Q58483083 ; wdt:P86 wd:Q2808 . } 
 Где:
 wdt:P31 именуется как ""это частный случай понятия.""
 wdt:P279 именуется как ""подкласс от.""
 wd:Q58483083 именуется как ""драматико-музыкальное произведение.""
 wdt:P86 именуется как ""композитор.""
 wd:Q2808 именуется как ""Элтон Джон.""
 Трансформируй SPARQL запрос в вопрос на естественном языке. Выведи только транфсормируемый вопрос. Перечисли все мюзиклы с музыкой Элтона Джона. 
 ----------- 
Имея следующий SPARQL запрос: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { wd:Q40984 wdt:P178 ?uri . } 
 Где:
 wd:Q40984 именуется как ""Skype.""
 wdt:P178 именуется как ""разработчик.""
 Трансформируй SPARQL запрос в вопрос на естественном языке. Выведи только транфсормируемый вопрос"	Кто создал Скайп?   	Кто разработал Skype?	ru	perevalov/Mistral-7B-instruct-v0.2-SPARQL2NL-10-04	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { wd:Q40984 wdt:P178 ?uri . }	['Кто', 'создал', 'Скайп', '?']	['Кто', 'разработал', 'Skype', '?']	0.2327	0.0	0.3333	15.0
3	"Имея следующий SPARQL запрос: SELECT DISTINCT ?uri WHERE {  ?uri <http://www.wikidata.org/prop/direct/P31> <http://www.wikidata.org/entity/Q408804> . } 
 Где:
 http://www.wikidata.org/prop/direct/P31 именуется как ""это частный случай понятия.""
 http://www.wikidata.org/entity/Q408804 именуется как ""боро.""
 Трансформируй SPARQL запрос в вопрос на естественном языке. Выведи только транфсормируемый вопрос. Перечислите пять районов Нью Йорка? 
 ----------- 
Имея следующий SPARQL запрос: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { ?uri wdt:P19 wd:Q160544 . } 
 Где:
 wdt:P19 именуется как ""место рождения.""
 wd:Q160544 именуется как ""Ираклион.""
 Трансформируй SPARQL запрос в вопрос на естественном языке. Выведи только транфсормируемый вопрос"	Какие люди родились в Ираклионе?	Кто родился в Ираклионе	ru	perevalov/Mistral-7B-instruct-v0.2-SPARQL2NL-10-04	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { ?uri wdt:P19 wd:Q160544 . }	['Какие', 'люди', 'родились', 'в', 'Ираклионе', '?']	['Кто', 'родился', 'в', 'Ираклионе']	0.2214	0.6667	0.2222	12.0
3	"Имея следующий SPARQL запрос: SELECT DISTINCT ?uri WHERE {  ?uri <http://www.wikidata.org/prop/direct/P31> <http://www.wikidata.org/entity/Q408804> . } 
 Где:
 http://www.wikidata.org/prop/direct/P31 именуется как ""это частный случай понятия.""
 http://www.wikidata.org/entity/Q408804 именуется как ""боро.""
 Трансформируй SPARQL запрос в вопрос на естественном языке. Выведи только транфсормируемый вопрос. Перечислите пять районов Нью Йорка? 
 ----------- 
Имея следующий SPARQL запрос: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { ?uri wdt:P19 wd:Q160544 . } 
 Где:
 wdt:P19 именуется как ""место рождения.""
 wd:Q160544 именуется как ""Ираклион.""
 Трансформируй SPARQL запрос в вопрос на естественном языке. Выведи только транфсормируемый вопрос"	Какие люди родились в Ираклионе?	Кто был рожден в Гераклионе?	ru	perevalov/Mistral-7B-instruct-v0.2-SPARQL2NL-10-04	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { ?uri wdt:P19 wd:Q160544 . }	['Какие', 'люди', 'родились', 'в', 'Ираклионе', '?']	['Кто', 'был', 'рожден', 'в', 'Гераклионе', '?']	0.2373	0.8617	0.2	16.0
3	"Имея следующий SPARQL запрос: SELECT DISTINCT ?uri WHERE {  ?uri <http://www.wikidata.org/prop/direct/P31> <http://www.wikidata.org/entity/Q408804> . } 
 Где:
 http://www.wikidata.org/prop/direct/P31 именуется как ""это частный случай понятия.""
 http://www.wikidata.org/entity/Q408804 именуется как ""боро.""
 Трансформируй SPARQL запрос в вопрос на естественном языке. Выведи только транфсормируемый вопрос. Перечислите пять районов Нью Йорка? 
 ----------- 
Имея следующий SPARQL запрос: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { ?uri wdt:P19 wd:Q160544 . } 
 Где:
 wdt:P19 именуется как ""место рождения.""
 wd:Q160544 именуется как ""Ираклион.""
 Трансформируй SPARQL запрос в вопрос на естественном языке. Выведи только транфсормируемый вопрос"	Какие люди родились в Ираклионе?	Какие люди родились в Ираклионе?	ru	perevalov/Mistral-7B-instruct-v0.2-SPARQL2NL-10-04	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { ?uri wdt:P19 wd:Q160544 . }	['Какие', 'люди', 'родились', 'в', 'Ираклионе', '?']	['Какие', 'люди', 'родились', 'в', 'Ираклионе', '?']	1.0	2.585	1.0	0.0
4	"Имея следующий SPARQL запрос: PREFIX wdt: <http://www.wikidata.org/prop/direct/>  PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q125006 wdt:P287 ?uri . } 
 Где:
 wd:Q125006 именуется как ""Бруклинский мост.""
 wdt:P287 именуется как ""проектировщик.""
 Трансформируй SPARQL запрос в вопрос на естественном языке. Выведи только транфсормируемый вопрос. Когда спроектировал Бруклинский мост? 
 ----------- 
Имея следующий SPARQL запрос: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q177397 wdt:P131 ?obj . ?obj wdt:P131 ?uri . } 
 Где:
 wd:Q177397 именуется как ""Зона 51.""
 wdt:P131 именуется как ""административно-территориальная единица.""
 wdt:P131 именуется как ""административно-территориальная единица.""
 Трансформируй SPARQL запрос в вопрос на естественном языке. Выведи только транфсормируемый вопрос"	"В каком штате США находится основа военноголагеря ""Зона 51""?   "	"В каком штате США находится военная база ""Зона 51"""	ru	perevalov/Mistral-7B-instruct-v0.2-SPARQL2NL-10-04	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q177397 wdt:P131 ?obj . ?obj wdt:P131 ?uri . }	"['В', 'каком', 'штате', 'США', 'находится', 'основа', 'военноголагеря', '``', 'Зона', '51', ""''"", '?']"	"['В', 'каком', 'штате', 'США', 'находится', 'военная', 'база', '``', 'Зона', '51', ""''""]"	0.5311	2.5946	0.6667	19.0
4	"Имея следующий SPARQL запрос: PREFIX wdt: <http://www.wikidata.org/prop/direct/>  PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q125006 wdt:P287 ?uri . } 
 Где:
 wd:Q125006 именуется как ""Бруклинский мост.""
 wdt:P287 именуется как ""проектировщик.""
 Трансформируй SPARQL запрос в вопрос на естественном языке. Выведи только транфсормируемый вопрос. Когда спроектировал Бруклинский мост? 
 ----------- 
Имея следующий SPARQL запрос: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q177397 wdt:P131 ?obj . ?obj wdt:P131 ?uri . } 
 Где:
 wd:Q177397 именуется как ""Зона 51.""
 wdt:P131 именуется как ""административно-территориальная единица.""
 wdt:P131 именуется как ""административно-территориальная единица.""
 Трансформируй SPARQL запрос в вопрос на естественном языке. Выведи только транфсормируемый вопрос"	"В каком штате США находится основа военноголагеря ""Зона 51""?   "	В каком штате США находится Зона 51?	ru	perevalov/Mistral-7B-instruct-v0.2-SPARQL2NL-10-04	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q177397 wdt:P131 ?obj . ?obj wdt:P131 ?uri . }	"['В', 'каком', 'штате', 'США', 'находится', 'основа', 'военноголагеря', '``', 'Зона', '51', ""''"", '?']"	['В', 'каком', 'штате', 'США', 'находится', 'Зона', '51', '?']	0.377	2.0	0.625	27.0
5	"Имея следующий SPARQL запрос: PREFIX wd: <http://www.wikidata.org/entity/> PREFIX wdt: <http://www.wikidata.org/prop/direct/> SELECT (COUNT(?episode) AS ?count) WHERE { ?episode wdt:P4908 wd:Q5274359 . } 
 Где:
 wdt:P4908 именуется как ""сезон.""
 Трансформируй SPARQL запрос в вопрос на естественном языке. Выведи только транфсормируемый вопрос. Перечислите все серии первого сезона телесериала HBO «Клан Сопрано» 
 ----------- 
Имея следующий SPARQL запрос: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q60 wdt:P6 ?uri . } 
 Где:
 wd:Q60 именуется как ""Нью-Йорк.""
 wdt:P6 именуется как ""глава правительства.""
 Трансформируй SPARQL запрос в вопрос на естественном языке. Выведи только транфсормируемый вопрос"	Кто мэр Нью-Йорка?	Кто является мэром Нью-Йорка	ru	perevalov/Mistral-7B-instruct-v0.2-SPARQL2NL-10-04	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q60 wdt:P6 ?uri . }	['Кто', 'мэр', 'Нью-Йорка', '?']	['Кто', 'является', 'мэром', 'Нью-Йорка']	0.2327	0.0	0.2857	12.0
