id	prompt	generated_nl	gold_standard_nl	lang	model	prompt_type	query	tokenized_generated_nl	tokenized_gold_standard_nl	sentence_bleu	sentence_nist	rougeL	levenshtein
1	"Имея следующий SPARQL запрос: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { ?uri wdt:P31 wd:Q131436 . } 
 Где:
 wdt:P31 именуется как ""это частный случай понятия.""
 wd:Q131436 именуется как ""игра на специальной доске.""
 Трансформируй SPARQL запрос в вопрос на естественном языке. Выведи только транфсормируемый вопрос"	"What are the URI entities that represent instances of the concept ""game on a special board"" as their top-level class?"	Перечислите все игры GMT.	ru	mistralai/Mistral-7B-Instruct-v0.2	ZERO_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { ?uri wdt:P31 wd:Q131436 . }	"['What', 'are', 'the', 'URI', 'entities', 'that', 'represent', 'instances', 'of', 'the', 'concept', '``', 'game', 'on', 'a', 'special', 'board', ""''"", 'as', 'their', 'top-level', 'class', '?']"	['Перечислите', 'все', 'игры', 'GMT', '.']	0.0	0.0	0.0	114.0
2	"Имея следующий SPARQL запрос: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { wd:Q40984 wdt:P178 ?uri . } 
 Где:
 wd:Q40984 именуется как ""Skype.""
 wdt:P178 именуется как ""разработчик.""
 Трансформируй SPARQL запрос в вопрос на естественном языке. Выведи только транфсормируемый вопрос"	"What is the developer ofSkype?
 queries for entities and properties with their URI prefixes:

wd: ""Skype"" , wdt: ""P178""

You are asking for any URI that has the property ""developer"" with the value ""Skype"". The SPARQL query will return those URIs."	Кто разработал скайп	ru	mistralai/Mistral-7B-Instruct-v0.2	ZERO_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { wd:Q40984 wdt:P178 ?uri . }	"['What', 'is', 'the', 'developer', 'ofSkype', '?', 'queries', 'for', 'entities', 'and', 'properties', 'with', 'their', 'URI', 'prefixes', ':', 'wd', ':', '``', 'Skype', ""''"", ',', 'wdt', ':', '``', 'P178', ""''"", 'You', 'are', 'asking', 'for', 'any', 'URI', 'that', 'has', 'the', 'property', '``', 'developer', ""''"", 'with', 'the', 'value', '``', 'Skype', ""''"", '.', 'The', 'SPARQL', 'query', 'will', 'return', 'those', 'URIs', '.']"	['Кто', 'разработал', 'скайп']	0.0	0.0	0.0	244.0
2	"Имея следующий SPARQL запрос: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { wd:Q40984 wdt:P178 ?uri . } 
 Где:
 wd:Q40984 именуется как ""Skype.""
 wdt:P178 именуется как ""разработчик.""
 Трансформируй SPARQL запрос в вопрос на естественном языке. Выведи только транфсормируемый вопрос"	"What is the developer ofSkype?
 queries for entities and properties with their URI prefixes:

wd: ""Skype"" , wdt: ""P178""

You are asking for any URI that has the property ""developer"" with the value ""Skype"". The SPARQL query will return those URIs."	Кто создал Скайп?	ru	mistralai/Mistral-7B-Instruct-v0.2	ZERO_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { wd:Q40984 wdt:P178 ?uri . }	"['What', 'is', 'the', 'developer', 'ofSkype', '?', 'queries', 'for', 'entities', 'and', 'properties', 'with', 'their', 'URI', 'prefixes', ':', 'wd', ':', '``', 'Skype', ""''"", ',', 'wdt', ':', '``', 'P178', ""''"", 'You', 'are', 'asking', 'for', 'any', 'URI', 'that', 'has', 'the', 'property', '``', 'developer', ""''"", 'with', 'the', 'value', '``', 'Skype', ""''"", '.', 'The', 'SPARQL', 'query', 'will', 'return', 'those', 'URIs', '.']"	['Кто', 'создал', 'Скайп', '?']	0.1556	0.0364	0.0	243.0
2	"Имея следующий SPARQL запрос: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { wd:Q40984 wdt:P178 ?uri . } 
 Где:
 wd:Q40984 именуется как ""Skype.""
 wdt:P178 именуется как ""разработчик.""
 Трансформируй SPARQL запрос в вопрос на естественном языке. Выведи только транфсормируемый вопрос"	"What is the developer ofSkype?
 queries for entities and properties with their URI prefixes:

wd: ""Skype"" , wdt: ""P178""

You are asking for any URI that has the property ""developer"" with the value ""Skype"". The SPARQL query will return those URIs."	Кто разработал Skype?	ru	mistralai/Mistral-7B-Instruct-v0.2	ZERO_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { wd:Q40984 wdt:P178 ?uri . }	"['What', 'is', 'the', 'developer', 'ofSkype', '?', 'queries', 'for', 'entities', 'and', 'properties', 'with', 'their', 'URI', 'prefixes', ':', 'wd', ':', '``', 'Skype', ""''"", ',', 'wdt', ':', '``', 'P178', ""''"", 'You', 'are', 'asking', 'for', 'any', 'URI', 'that', 'has', 'the', 'property', '``', 'developer', ""''"", 'with', 'the', 'value', '``', 'Skype', ""''"", '.', 'The', 'SPARQL', 'query', 'will', 'return', 'those', 'URIs', '.']"	['Кто', 'разработал', 'Skype', '?']	0.1851	0.0727	0.0	238.0
3	"Имея следующий SPARQL запрос: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { ?uri wdt:P19 wd:Q160544 . } 
 Где:
 wdt:P19 именуется как ""место рождения.""
 wd:Q160544 именуется как ""Ираклион.""
 Трансформируй SPARQL запрос в вопрос на естественном языке. Выведи только транфсормируемый вопрос"	"What are the URI identifiers of the entities that have the property ""place of birth"" with value ""Iраклион"" (Q160544)?"	Кто родился в Ираклионе	ru	mistralai/Mistral-7B-Instruct-v0.2	ZERO_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { ?uri wdt:P19 wd:Q160544 . }	"['What', 'are', 'the', 'URI', 'identifiers', 'of', 'the', 'entities', 'that', 'have', 'the', 'property', '``', 'place', 'of', 'birth', ""''"", 'with', 'value', '``', 'Iраклион', ""''"", '(', 'Q160544', ')', '?']"	['Кто', 'родился', 'в', 'Ираклионе']	0.0	0.0	0.0	107.0
3	"Имея следующий SPARQL запрос: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { ?uri wdt:P19 wd:Q160544 . } 
 Где:
 wdt:P19 именуется как ""место рождения.""
 wd:Q160544 именуется как ""Ираклион.""
 Трансформируй SPARQL запрос в вопрос на естественном языке. Выведи только транфсормируемый вопрос"	"What are the URI identifiers of the entities that have the property ""place of birth"" with value ""Iраклион"" (Q160544)?"	Кто был рожден в Гераклионе?	ru	mistralai/Mistral-7B-Instruct-v0.2	ZERO_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { ?uri wdt:P19 wd:Q160544 . }	"['What', 'are', 'the', 'URI', 'identifiers', 'of', 'the', 'entities', 'that', 'have', 'the', 'property', '``', 'place', 'of', 'birth', ""''"", 'with', 'value', '``', 'Iраклион', ""''"", '(', 'Q160544', ')', '?']"	['Кто', 'был', 'рожден', 'в', 'Гераклионе', '?']	0.1754	0.0994	0.0	105.0
3	"Имея следующий SPARQL запрос: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { ?uri wdt:P19 wd:Q160544 . } 
 Где:
 wdt:P19 именуется как ""место рождения.""
 wd:Q160544 именуется как ""Ираклион.""
 Трансформируй SPARQL запрос в вопрос на естественном языке. Выведи только транфсормируемый вопрос"	"What are the URI identifiers of the entities that have the property ""place of birth"" with value ""Iраклион"" (Q160544)?"	Какие люди родились в Ираклионе?	ru	mistralai/Mistral-7B-Instruct-v0.2	ZERO_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { ?uri wdt:P19 wd:Q160544 . }	"['What', 'are', 'the', 'URI', 'identifiers', 'of', 'the', 'entities', 'that', 'have', 'the', 'property', '``', 'place', 'of', 'birth', ""''"", 'with', 'value', '``', 'Iраклион', ""''"", '(', 'Q160544', ')', '?']"	['Какие', 'люди', 'родились', 'в', 'Ираклионе', '?']	0.1754	0.0994	0.0	105.0
4	"Имея следующий SPARQL запрос: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q177397 wdt:P131 ?obj . ?obj wdt:P131 ?uri . } 
 Где:
 wd:Q177397 именуется как ""Зона 51.""
 wdt:P131 именуется как ""административно-территориальная единица.""
 wdt:P131 именуется как ""административно-территориальная единица.""
 Трансформируй SPARQL запрос в вопрос на естественном языке. Выведи только транфсормируемый вопрос"	"What are the distinct administrative-territorial units that fall under the administrative-territorial unit ""Zone 51""?"	"В каком штате США находится военная база ""Зона 51"""	ru	mistralai/Mistral-7B-Instruct-v0.2	ZERO_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q177397 wdt:P131 ?obj . ?obj wdt:P131 ?uri . }	"['What', 'are', 'the', 'distinct', 'administrative-territorial', 'units', 'that', 'fall', 'under', 'the', 'administrative-territorial', 'unit', '``', 'Zone', '51', ""''"", '?']"	"['В', 'каком', 'штате', 'США', 'находится', 'военная', 'база', '``', 'Зона', '51', ""''""]"	0.1575	0.6105	0.0	105.0
4	"Имея следующий SPARQL запрос: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q177397 wdt:P131 ?obj . ?obj wdt:P131 ?uri . } 
 Где:
 wd:Q177397 именуется как ""Зона 51.""
 wdt:P131 именуется как ""административно-территориальная единица.""
 wdt:P131 именуется как ""административно-территориальная единица.""
 Трансформируй SPARQL запрос в вопрос на естественном языке. Выведи только транфсормируемый вопрос"	"What are the distinct administrative-territorial units that fall under the administrative-territorial unit ""Zone 51""?"	В каком штате США находится Зона 51?	ru	mistralai/Mistral-7B-Instruct-v0.2	ZERO_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q177397 wdt:P131 ?obj . ?obj wdt:P131 ?uri . }	"['What', 'are', 'the', 'distinct', 'administrative-territorial', 'units', 'that', 'fall', 'under', 'the', 'administrative-territorial', 'unit', '``', 'Zone', '51', ""''"", '?']"	['В', 'каком', 'штате', 'США', 'находится', 'Зона', '51', '?']	0.2207	0.3529	0.0	108.0
5	"Имея следующий SPARQL запрос: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q60 wdt:P6 ?uri . } 
 Где:
 wd:Q60 именуется как ""Нью-Йорк.""
 wdt:P6 именуется как ""глава правительства.""
 Трансформируй SPARQL запрос в вопрос на естественном языке. Выведи только транфсормируемый вопрос"	What are the distinct URI's of entities that have been the head of government for New York?	Кто является мэром Нью-Йорка	ru	mistralai/Mistral-7B-Instruct-v0.2	ZERO_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q60 wdt:P6 ?uri . }	"['What', 'are', 'the', 'distinct', 'URI', ""'s"", 'of', 'entities', 'that', 'have', 'been', 'the', 'head', 'of', 'government', 'for', 'New', 'York', '?']"	['Кто', 'является', 'мэром', 'Нью-Йорка']	0.0	0.0	0.0	88.0
