id	prompt	generated_nl	gold_standard_nl	lang	model	prompt_type	query	tokenized_generated_nl	tokenized_gold_standard_nl	sentence_bleu	sentence_nist	rougeL	levenshtein
1	"Gegeben ist die SPARQL-Anfrage: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q60 wdt:P6 ?uri . } 
 Dabei gilt:
 Die Bezeichnung von wd:Q60 ist ""New York City.""
 Die Bezeichnung von wdt:P6 ist ""Leiter der Regierung oder Verwaltung.""
 Transformiere die SPARQL-Anfrage in eine Frage in natürlicher Sprache. Gib nur die transformierte Frage aus.. Wer ist der Bürgermeister von New York City? 
 ----------- 
Gegeben ist die SPARQL-Anfrage: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { ?uri wdt:P31 wd:Q131436 . } 
 Dabei gilt:
 Die Bezeichnung von wdt:P31 ist ""ist ein(e).""
 Die Bezeichnung von wd:Q131436 ist ""Brettspiel.""
 Transformiere die SPARQL-Anfrage in eine Frage in natürlicher Sprache. Gib nur die transformierte Frage aus."	Liste alle Brettspiele von GMT auf.	Liste die Brettspiele von GMT auf.	de	ft:gpt-3.5-turbo-0125:personal::9AfWwuZ3	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { ?uri wdt:P31 wd:Q131436 . }	['Liste', 'alle', 'Brettspiele', 'von', 'GMT', 'auf', '.']	['Liste', 'die', 'Brettspiele', 'von', 'GMT', 'auf', '.']	0.6435	2.4063	0.8333	3.0
1	"Gegeben ist die SPARQL-Anfrage: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q60 wdt:P6 ?uri . } 
 Dabei gilt:
 Die Bezeichnung von wd:Q60 ist ""New York City.""
 Die Bezeichnung von wdt:P6 ist ""Leiter der Regierung oder Verwaltung.""
 Transformiere die SPARQL-Anfrage in eine Frage in natürlicher Sprache. Gib nur die transformierte Frage aus.. Wer ist der Bürgermeister von New York City? 
 ----------- 
Gegeben ist die SPARQL-Anfrage: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { ?uri wdt:P31 wd:Q131436 . } 
 Dabei gilt:
 Die Bezeichnung von wdt:P31 ist ""ist ein(e).""
 Die Bezeichnung von wd:Q131436 ist ""Brettspiel.""
 Transformiere die SPARQL-Anfrage in eine Frage in natürlicher Sprache. Gib nur die transformierte Frage aus."	Liste alle Brettspiele von GMT auf.	Zeige mir alle Brettspiele von GMT.	de	ft:gpt-3.5-turbo-0125:personal::9AfWwuZ3	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { ?uri wdt:P31 wd:Q131436 . }	['Liste', 'alle', 'Brettspiele', 'von', 'GMT', 'auf', '.']	['Zeige', 'mir', 'alle', 'Brettspiele', 'von', 'GMT', '.']	0.4347	2.0053	0.6667	12.0
2	"Gegeben ist die SPARQL-Anfrage: PREFIX wdt: <http://www.wikidata.org/prop/direct/>  PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?val WHERE { wd:Q11806 wdt:P569 ?val . } 
 Dabei gilt:
 Die Bezeichnung von wd:Q11806 ist ""John Adams.""
 Die Bezeichnung von wdt:P569 ist ""Geburtsdatum.""
 Transformiere die SPARQL-Anfrage in eine Frage in natürlicher Sprache. Gib nur die transformierte Frage aus.. Wann wurde John Adams geboren? 
 ----------- 
Gegeben ist die SPARQL-Anfrage: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { wd:Q40984 wdt:P178 ?uri . } 
 Dabei gilt:
 Die Bezeichnung von wd:Q40984 ist ""Skype.""
 Die Bezeichnung von wdt:P178 ist ""Entwickler.""
 Transformiere die SPARQL-Anfrage in eine Frage in natürlicher Sprache. Gib nur die transformierte Frage aus."	Wer entwickelte Skype?	Wer entwickelte Skype?	de	ft:gpt-3.5-turbo-0125:personal::9AfWwuZ3	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { wd:Q40984 wdt:P178 ?uri . }	['Wer', 'entwickelte', 'Skype', '?']	['Wer', 'entwickelte', 'Skype', '?']	1.0	0.0	1.0	0.0
2	"Gegeben ist die SPARQL-Anfrage: PREFIX wdt: <http://www.wikidata.org/prop/direct/>  PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?val WHERE { wd:Q11806 wdt:P569 ?val . } 
 Dabei gilt:
 Die Bezeichnung von wd:Q11806 ist ""John Adams.""
 Die Bezeichnung von wdt:P569 ist ""Geburtsdatum.""
 Transformiere die SPARQL-Anfrage in eine Frage in natürlicher Sprache. Gib nur die transformierte Frage aus.. Wann wurde John Adams geboren? 
 ----------- 
Gegeben ist die SPARQL-Anfrage: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { wd:Q40984 wdt:P178 ?uri . } 
 Dabei gilt:
 Die Bezeichnung von wd:Q40984 ist ""Skype.""
 Die Bezeichnung von wdt:P178 ist ""Entwickler.""
 Transformiere die SPARQL-Anfrage in eine Frage in natürlicher Sprache. Gib nur die transformierte Frage aus."	Wer entwickelte Skype?	Wer hat Skype entwickelt?	de	ft:gpt-3.5-turbo-0125:personal::9AfWwuZ3	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { wd:Q40984 wdt:P178 ?uri . }	['Wer', 'entwickelte', 'Skype', '?']	['Wer', 'hat', 'Skype', 'entwickelt', '?']	0.2005	0.0	0.2857	16.0
3	"Gegeben ist die SPARQL-Anfrage: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { { wd:Q1318118 wdt:P361 ?uri . } UNION { VALUES ?albumType { wd:Q482994 wd:Q208569 } ?uri wdt:P31|wdt:P7937 ?albumType ; wdt:P658 wd:Q1318118 . }} 
 Dabei gilt:
 Die Bezeichnung von wd:Q1318118 ist ""Last Christmas.""
 Die Bezeichnung von wdt:P361 ist ""ist Teil von.""
 Die Bezeichnung von wd:Q482994 ist ""Album.""
 Die Bezeichnung von wd:Q208569 ist ""Studioalbum.""
 Die Bezeichnung von wdt:P31 ist ""ist ein(e).""
 Die Bezeichnung von wdt:P7937 ist ""künstlerische Form.""
 Die Bezeichnung von wdt:P658 ist ""Titelliste.""
 Die Bezeichnung von wd:Q1318118 ist ""Last Christmas.""
 Transformiere die SPARQL-Anfrage in eine Frage in natürlicher Sprache. Gib nur die transformierte Frage aus.. Auf welchen Musikalben befindet sich das Lied Last Christmas? 
 ----------- 
Gegeben ist die SPARQL-Anfrage: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { ?uri wdt:P19 wd:Q160544 . } 
 Dabei gilt:
 Die Bezeichnung von wdt:P19 ist ""Geburtsort.""
 Die Bezeichnung von wd:Q160544 ist ""Heraklion.""
 Transformiere die SPARQL-Anfrage in eine Frage in natürlicher Sprache. Gib nur die transformierte Frage aus."	Welche Menschen wurden in Heraklion geboren?	Welche Personen wurden in Heraklion geboren?	de	ft:gpt-3.5-turbo-0125:personal::9AfWwuZ3	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { ?uri wdt:P19 wd:Q160544 . }	['Welche', 'Menschen', 'wurden', 'in', 'Heraklion', 'geboren', '?']	['Welche', 'Personen', 'wurden', 'in', 'Heraklion', 'geboren', '?']	0.6435	2.4063	0.8333	4.0
3	"Gegeben ist die SPARQL-Anfrage: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { { wd:Q1318118 wdt:P361 ?uri . } UNION { VALUES ?albumType { wd:Q482994 wd:Q208569 } ?uri wdt:P31|wdt:P7937 ?albumType ; wdt:P658 wd:Q1318118 . }} 
 Dabei gilt:
 Die Bezeichnung von wd:Q1318118 ist ""Last Christmas.""
 Die Bezeichnung von wdt:P361 ist ""ist Teil von.""
 Die Bezeichnung von wd:Q482994 ist ""Album.""
 Die Bezeichnung von wd:Q208569 ist ""Studioalbum.""
 Die Bezeichnung von wdt:P31 ist ""ist ein(e).""
 Die Bezeichnung von wdt:P7937 ist ""künstlerische Form.""
 Die Bezeichnung von wdt:P658 ist ""Titelliste.""
 Die Bezeichnung von wd:Q1318118 ist ""Last Christmas.""
 Transformiere die SPARQL-Anfrage in eine Frage in natürlicher Sprache. Gib nur die transformierte Frage aus.. Auf welchen Musikalben befindet sich das Lied Last Christmas? 
 ----------- 
Gegeben ist die SPARQL-Anfrage: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { ?uri wdt:P19 wd:Q160544 . } 
 Dabei gilt:
 Die Bezeichnung von wdt:P19 ist ""Geburtsort.""
 Die Bezeichnung von wd:Q160544 ist ""Heraklion.""
 Transformiere die SPARQL-Anfrage in eine Frage in natürlicher Sprache. Gib nur die transformierte Frage aus."	Welche Menschen wurden in Heraklion geboren?	Welche Menschen wurden in Heraklion geboren?	de	ft:gpt-3.5-turbo-0125:personal::9AfWwuZ3	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT ?uri WHERE { ?uri wdt:P19 wd:Q160544 . }	['Welche', 'Menschen', 'wurden', 'in', 'Heraklion', 'geboren', '?']	['Welche', 'Menschen', 'wurden', 'in', 'Heraklion', 'geboren', '?']	1.0	2.8074	1.0	0.0
4	"Gegeben ist die SPARQL-Anfrage: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?date WHERE { wd:Q1951 wdt:P571 ?date . } 
 Dabei gilt:
 Die Bezeichnung von wd:Q1951 ist ""Alberta.""
 Die Bezeichnung von wdt:P571 ist ""Datum der Gründung, Erstellung, Entstehung, Erbauung.""
 Transformiere die SPARQL-Anfrage in eine Frage in natürlicher Sprache. Gib nur die transformierte Frage aus.. Wann wurde Alberta zu einer Provinz? 
 ----------- 
Gegeben ist die SPARQL-Anfrage: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q177397 wdt:P131 ?obj . ?obj wdt:P131 ?uri . } 
 Dabei gilt:
 Die Bezeichnung von wd:Q177397 ist ""Area 51.""
 Die Bezeichnung von wdt:P131 ist ""liegt in der Verwaltungseinheit.""
 Die Bezeichnung von wdt:P131 ist ""liegt in der Verwaltungseinheit.""
 Transformiere die SPARQL-Anfrage in eine Frage in natürlicher Sprache. Gib nur die transformierte Frage aus."	In welchem Bundesstaat liegt Area 51?	In welchem Bundesstaat liegt Area 51?	de	ft:gpt-3.5-turbo-0125:personal::9AfWwuZ3	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q177397 wdt:P131 ?obj . ?obj wdt:P131 ?uri . }	['In', 'welchem', 'Bundesstaat', 'liegt', 'Area', '51', '?']	['In', 'welchem', 'Bundesstaat', 'liegt', 'Area', '51', '?']	1.0	2.8074	1.0	0.0
4	"Gegeben ist die SPARQL-Anfrage: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?date WHERE { wd:Q1951 wdt:P571 ?date . } 
 Dabei gilt:
 Die Bezeichnung von wd:Q1951 ist ""Alberta.""
 Die Bezeichnung von wdt:P571 ist ""Datum der Gründung, Erstellung, Entstehung, Erbauung.""
 Transformiere die SPARQL-Anfrage in eine Frage in natürlicher Sprache. Gib nur die transformierte Frage aus.. Wann wurde Alberta zu einer Provinz? 
 ----------- 
Gegeben ist die SPARQL-Anfrage: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q177397 wdt:P131 ?obj . ?obj wdt:P131 ?uri . } 
 Dabei gilt:
 Die Bezeichnung von wd:Q177397 ist ""Area 51.""
 Die Bezeichnung von wdt:P131 ist ""liegt in der Verwaltungseinheit.""
 Die Bezeichnung von wdt:P131 ist ""liegt in der Verwaltungseinheit.""
 Transformiere die SPARQL-Anfrage in eine Frage in natürlicher Sprache. Gib nur die transformierte Frage aus."	In welchem Bundesstaat liegt Area 51?	In welchem US Bundesstaat liegt Area 51?	de	ft:gpt-3.5-turbo-0125:personal::9AfWwuZ3	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q177397 wdt:P131 ?obj . ?obj wdt:P131 ?uri . }	['In', 'welchem', 'Bundesstaat', 'liegt', 'Area', '51', '?']	['In', 'welchem', 'US', 'Bundesstaat', 'liegt', 'Area', '51', '?']	0.613	2.7827	0.9231	3.0
5	"Gegeben ist die SPARQL-Anfrage: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { ?uri wdt:P54 wd:Q272059 ; wdt:P2048 ?height . } ORDER BY DESC(?height) LIMIT 1 
 Dabei gilt:
 Die Bezeichnung von wdt:P54 ist ""Mitglied von Sportmannschaft oder -verein.""
 Die Bezeichnung von wd:Q272059 ist ""Atlanta Falcons.""
 Die Bezeichnung von wdt:P2048 ist ""Höhe.""
 Transformiere die SPARQL-Anfrage in eine Frage in natürlicher Sprache. Gib nur die transformierte Frage aus.. Wie heißt der größte Spieler der Atlanta Falcons? 
 ----------- 
Gegeben ist die SPARQL-Anfrage: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q60 wdt:P6 ?uri . } 
 Dabei gilt:
 Die Bezeichnung von wd:Q60 ist ""New York City.""
 Die Bezeichnung von wdt:P6 ist ""Leiter der Regierung oder Verwaltung.""
 Transformiere die SPARQL-Anfrage in eine Frage in natürlicher Sprache. Gib nur die transformierte Frage aus."	Wer ist der Bürgermeister von New York?	Wer ist der Bürgermeister von New York City?	de	ft:gpt-3.5-turbo-0125:personal::9AfWwuZ3	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q60 wdt:P6 ?uri . }	['Wer', 'ist', 'der', 'Bürgermeister', 'von', 'New', 'York', '?']	['Wer', 'ist', 'der', 'Bürgermeister', 'von', 'New', 'York', 'City', '?']	0.7673	2.9898	0.8	5.0
7	"Gegeben ist die SPARQL-Anfrage: PREFIX psv: <http://www.wikidata.org/prop/statement/value/> PREFIX wikibase: <http://wikiba.se/ontology#> PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> PREFIX p: <http://www.wikidata.org/prop/> SELECT DISTINCT ?uri WHERE { ?uri wdt:P31/wdt:P279* wd:Q12280 ; p:P2787 ?statement . ?statement psv:P2787 ?value . ?value wikibase:quantityAmount ?len . ?value wikibase:quantityUnit ?unit . BIND(IF(?unit = wd:Q11573, ?len, IF(?unit = wd:Q3710,?len*0.3048, IF(?unit = wd:Q253276,?len*1609.34,IF(?unit = wd:Q828224,?len*1000, ?len)))) AS ?lenUnified) } ORDER BY DESC(?lenUnified) LIMIT 1 
 Dabei gilt:
 Die Bezeichnung von wdt:P31 ist ""ist ein(e).""
 Die Bezeichnung von wdt:P279 ist ""Unterklasse von.""
 Die Bezeichnung von wd:Q12280 ist ""Brücke.""
 Die Bezeichnung von p:P2787 ist ""Spanne.""
 Die Bezeichnung von psv:P2787 ist ""psv:P2787.""
 Die Bezeichnung von wikibase:quantityAmount ist ""wikibase:quantityAmount.""
 Die Bezeichnung von wikibase:quantityUnit ist ""wikibase:quantityUnit.""
 Die Bezeichnung von wd:Q11573 ist ""Meter.""
 Die Bezeichnung von wd:Q3710 ist ""Fuß.""
 Die Bezeichnung von wd:Q253276 ist ""Meile.""
 Die Bezeichnung von wd:Q828224 ist ""Kilometer.""
 Transformiere die SPARQL-Anfrage in eine Frage in natürlicher Sprache. Gib nur die transformierte Frage aus.. Welche ist die längste Brücke? 
 ----------- 
Gegeben ist die SPARQL-Anfrage: PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q91 wdt:P20 ?uri }  
 Dabei gilt:
 Die Bezeichnung von wd:Q91 ist ""Abraham Lincoln.""
 Die Bezeichnung von wdt:P20 ist ""Sterbeort.""
 Transformiere die SPARQL-Anfrage in eine Frage in natürlicher Sprache. Gib nur die transformierte Frage aus."	Wo ist Abraham Lincoln gestorben?	Wo starb Abraham Lincoln?	de	ft:gpt-3.5-turbo-0125:personal::9AfWwuZ3	ONE_SHOT	PREFIX wdt: <http://www.wikidata.org/prop/direct/> PREFIX wd: <http://www.wikidata.org/entity/> SELECT DISTINCT ?uri WHERE { wd:Q91 wdt:P20 ?uri } 	['Wo', 'ist', 'Abraham', 'Lincoln', 'gestorben', '?']	['Wo', 'starb', 'Abraham', 'Lincoln', '?']	0.2633	1.548	0.4444	14.0
